Theft Year,State,Rank,Make/Model,Model Year,Thefts,
2015,Kentucky,3,Toyota Camry,1999,178,
2015,Kentucky,4,Chevrolet Impala,2005,118,
2015,Kentucky,5,Toyota Corolla,2014,110,
2015,Kentucky,6,Honda Accord,1997,108,
2015,Kentucky,7,Ford Explorer,2000,99,
2015,Kentucky,8,Ford Taurus,2002,94,
2015,Kentucky,9,Dodge Pickup (Full Size),2001,93,
2015,Kentucky,10,Chevrolet Pickup (Small Size),2000,79,
2015,Louisiana,1,Chevrolet Pickup (Full Size),2006,671,
2015,Louisiana,2,Ford Pickup (Full Size),2006,584,
2015,Louisiana,3,GMC Pickup (Full Size),2006,253,
2015,Louisiana,4,Toyota Camry,2007,224,
2015,Louisiana,5,Dodge Pickup (Full Size),2003,222,
2015,Louisiana,6,Nissan Altima,2014,215,
2015,Louisiana,7,Honda Accord,2008,209,
2015,Louisiana,8,Chevrolet Impala,2008,177,
2015,Louisiana,9,GMC Yukon,2003,125,
2015,Louisiana,10,Chevrolet Tahoe,2007,114,
2015,Maine,1,Chevrolet Pickup (Full Size),2001,29,
2015,Maine,2,GMC Pickup (Full Size),1993,26,
2015,Maine,3,Jeep Cherokee/Grand Cherokee,2004,18,
2015,Maine,4,Ford Pickup (Full Size),2004,15,
2015,Maine,5,Toyota Corolla,2009,13,
2015,Maine,5,Toyota Camry,1996,13,
2015,Maine,6,Honda Civic,2009,11,
2015,Maine,7,Chevrolet Impala,2000,8,
2015,Maine,7,Ford Focus,2001,8,
2015,Maine,8,Chevrolet Cobalt,2005,7,
2015,Maryland,1,Dodge Caravan,2003,727,
2015,Maryland,2,Honda Accord,2008,675,
2015,Maryland,3,Toyota Camry,2014,347,
2015,Maryland,4,Honda Civic,2012,313,
2015,Maryland,5,Ford Pickup (Full Size),2004,287,
2015,Maryland,6,Nissan Altima,2013,230,
2015,Maryland,7,Toyota Corolla,2014,204,
2015,Maryland,8,Jeep Cherokee/Grand Cherokee,2015,194,
2015,Maryland,9,Chevrolet Pickup (Full Size),1999,192,
2015,Maryland,10,Hyundai Sonata,2013,169,
2015,Massachusetts,1,Honda Civic,2000,426,
2015,Massachusetts,2,Honda Accord,1997,402,
2015,Massachusetts,3,Toyota Camry,2014,260,
2015,Massachusetts,4,Toyota Corolla,2010,203,
2015,Massachusetts,5,Dodge Caravan,2005,188,
2015,Massachusetts,6,Ford Pickup (Full Size),2004,178,
2015,Massachusetts,7,Nissan Altima,2005,156,
2015,Massachusetts,8,Jeep Cherokee/Grand Cherokee,1999,143,
2015,Massachusetts,9,Honda CR-V,1999,107,
2015,Massachusetts,10,Chevrolet Pickup (Full Size),2015,95,
2015,Michigan,1,Chevrolet Impala,2008,733,
2015,Michigan,2,Chevrolet Pickup (Full Size),1999,585,
2015,Michigan,3,Ford Pickup (Full Size),2006,530,
2015,Michigan,4,Dodge Caravan,2003,528,
2015,Michigan,5,Dodge Charger,2015,477,
2015,Michigan,6,Chevrolet Trailblazer,2007,462,
2015,Michigan,7,Chevrolet Malibu,2013,451,
2015,Michigan,8,Pontiac Grand Prix,2004,418,
2015,Michigan,9,Jeep Cherokee/Grand Cherokee,2000,407,
2015,Michigan,10,Ford Fusion,2014,355,
2015,Minnesota,1,Honda Civic,1998,676,
2015,Minnesota,2,Honda Accord,1997,524,
2015,Minnesota,3,Chevrolet Pickup (Full Size),1999,329,
2015,Minnesota,4,Ford Pickup (Full Size),2005,246,
2015,Minnesota,5,Toyota Camry,1999,214,
2015,Minnesota,6,Honda CR-V,1999,190,
2015,Minnesota,7,Chevrolet Impala,2004,171,
2015,Minnesota,8,Dodge Caravan,2003,143,
2015,Minnesota,9,Toyota Corolla,2010,109,
2015,Minnesota,10,Acura Integra,1996,95,
2015,Mississippi,1,Chevrolet Pickup (Full Size),1994,286,
2015,Mississippi,2,Ford Pickup (Full Size),2006,278,
2015,Mississippi,3,Nissan Altima,2015,128,
2015,Mississippi,4,Chevrolet Impala,2006,114,
2015,Mississippi,5,GMC Pickup (Full Size),2000,103,
2015,Mississippi,6,Toyota Camry,2014,94,
2015,Mississippi,7,Honda Accord,2007,91,
2015,Mississippi,8,Dodge Pickup (Full Size),2005,85,
2015,Mississippi,9,Chevrolet Malibu,2015,73,
2015,Mississippi,10,Chevrolet Tahoe,2005,68,
2015,Missouri,1,Ford Pickup (Full Size),2004,880,
2015,Missouri,2,Chevrolet Pickup (Full Size),2000,783,
2015,Missouri,3,Dodge Caravan,2003,465,
2015,Missouri,4,Dodge Pickup (Full Size),2001,410,
2015,Missouri,5,Chevrolet Impala,2008,369,
2015,Missouri,6,Jeep Cherokee/Grand Cherokee,1998,289,
2015,Missouri,7,Honda Accord,1997,274,
2015,Missouri,8,Ford Taurus,2002,250,
2015,Missouri,9,Chevrolet Malibu,2015,243,
2015,Missouri,10,Toyota Camry,2014,236,
2015,Montana,1,Chevrolet Pickup (Full Size),1999,165,
2015,Montana,2,Ford Pickup (Full Size),1995,145,
2015,Montana,3,Dodge Pickup (Full Size),2006,78,
2015,Montana,4,GMC Pickup (Full Size),2008,55,
2015,Montana,5,Honda Accord,1994,52,
2015,Montana,6,Chevrolet Impala,2001,31,
2015,Montana,7,Ford Explorer,1996,27,
2015,Montana,8,Chevrolet Pickup (Small Size),1995,24,
2015,Montana,9,Toyota Camry,2015,23,
2015,Montana,10,Ford Pickup (Small Size),2000,22,
2015,Nebraska,1,Chevrolet Pickup (Full Size),1996,196,
2015,Nebraska,2,Ford Pickup (Full Size),1999,168,
2015,Nebraska,3,Honda Civic,1997,165,
2015,Nebraska,4,Honda Accord,1996,157,
2015,Nebraska,5,Dodge Pickup (Full Size),2001,102,
2015,Nebraska,6,Jeep Cherokee/Grand Cherokee,1999,70,
2015,Nebraska,7,Chevrolet Impala,2006,68,
2015,Nebraska,8,GMC Pickup (Full Size),2015,61,
2015,Nebraska,9,Toyota Camry,2000,49,
2015,Nebraska,10,Chevrolet Pickup (Small Size),1998,43,
2015,Nevada,1,Honda Accord,1996,"1,048",
2015,Nevada,2,Honda Civic,1998,"1,011",
2015,Nevada,3,Chevrolet Pickup (Full Size),2006,377,
2015,Nevada,4,Ford Pickup (Full Size),2006,279,
2015,Nevada,5,Toyota Camry,2015,254,
2015,Nevada,6,Nissan Maxima,1997,208,
2015,Nevada,7,Nissan Altima,1997,207,
2015,Nevada,8,Nissan Sentra,2014,200,
2015,Nevada,9,Toyota Corolla,2014,151,
2015,Nevada,10,Dodge Pickup (Full Size),2005,148,
2015,New Hampshire,1,Honda Civic,1997,34,
2015,New Hampshire,2,Honda Accord,1996,20,
2015,New Hampshire,3,Chevrolet Pickup (Full Size),2002,19,
2015,New Hampshire,4,Ford Pickup (Full Size),2002,17,
2015,New Hampshire,5,Dodge Caravan,2003,16,
2015,New Hampshire,6,Ford Focus,2007,14,
2015,New Hampshire,7,Toyota Camry,1999,13,
2015,New Hampshire,8,Jeep Cherokee/Grand Cherokee,2000,11,
2015,New Hampshire,9,GMC Pickup (Full Size),2007,9,
2015,New Hampshire,9,Toyota Corolla,1999,9,
2015,New Jersey,1,Honda Accord,1997,844,
2015,New Jersey,2,Honda Civic,1998,753,
2015,New Jersey,3,Dodge Caravan,2002,427,
2015,New Jersey,4,Nissan Sentra,1998,340,
2015,New Jersey,5,Ford Pickup (Full Size),2006,295,
2015,New Jersey,6,Nissan Altima,2014,291,
2015,New Jersey,7,Jeep Cherokee/Grand Cherokee,2000,286,
2015,New Jersey,8,Toyota Camry,2014,232,
2015,New Jersey,9,Nissan Maxima,1998,195,
2015,New Jersey,10,Ford Econoline E350,2003,184,
2015,New Mexico,1,Honda Civic,1998,572,
2015,New Mexico,2,Ford Pickup (Full Size),2006,557,
2015,New Mexico,3,Honda Accord,1994,545,
2015,New Mexico,4,Chevrolet Pickup (Full Size),2006,483,
2015,New Mexico,5,Dodge Pickup (Full Size),2003,269,
2015,New Mexico,6,GMC Pickup (Full Size),2006,180,
2015,New Mexico,7,Jeep Cherokee/Grand Cherokee,1994,149,
2015,New Mexico,8,Toyota Camry,1999,128,
2015,New Mexico,9,Chevrolet Pickup (Small Size),1998,101,
2015,New Mexico,10,Chevrolet Impala,2005,90,
2015,New York,1,Honda Accord,1997,724,
2015,New York,2,Honda Civic,1998,707,
2015,New York,3,Toyota Camry,2014,500,
2015,New York,4,Nissan Altima,2015,374,
2015,New York,5,Dodge Caravan,2000,368,
2015,New York,6,Ford Econoline E350,2011,339,
2015,New York,7,Nissan Maxima,1998,328,
2015,New York,8,Honda CR-V,1997,283,
2015,New York,9,Toyota Corolla,2010,280,
2015,New York,10,Jeep Cherokee/Grand Cherokee,2015,263,
2015,North Carolina,1,Honda Accord,1997,609,
2015,North Carolina,2,Ford Pickup (Full Size),2004,424,
2015,North Carolina,3,Chevrolet Pickup (Full Size),2003,370,
2015,North Carolina,4,Honda Civic,2000,350,
2015,North Carolina,5,Toyota Camry,2014,291,
2015,North Carolina,6,Nissan Altima,2015,249,
2015,North Carolina,7,Jeep Cherokee/Grand Cherokee,1999,203,
2015,North Carolina,8,Chevrolet Impala,2006,194,
2015,North Carolina,9,Toyota Corolla,2014,190,
2015,North Carolina,10,Ford Explorer,2003,185,
2015,North Dakota,1,Chevrolet Pickup (Full Size),2002,127,
2015,North Dakota,2,Ford Pickup (Full Size),1997,101,
2015,North Dakota,3,Dodge Pickup (Full Size),1998,49,
2015,North Dakota,4,GMC Pickup (Full Size),2006,37,
2015,North Dakota,5,Chevrolet Impala,2015,27,
2015,North Dakota,6,Honda Accord,1990,23,
2015,North Dakota,7,Jeep Cherokee/Grand Cherokee,1999,21,
2015,North Dakota,8,Chevrolet Pickup (Small Size),1999,18,
2015,North Dakota,9,Pontiac Grand Am,2000,17,
2015,North Dakota,10,Ford Taurus,1998,16,
2015,Ohio,1,Dodge Caravan,2003,679,
2015,Ohio,2,Chevrolet Pickup (Full Size),1999,579,
